"staircase_name","gt_num_steps","risers_alg","treads_alg","width_gt_mm","width_alg_mm","riser_gt_mm","riser_alg_mm","tread_gt_mm","tread_alg_mm","width_abs_error","width_pct_error","riser_abs_error","riser_pct_error","tread_abs_error","tread_pct_error","mae_width","rmse_width","mae_riser","rmse_riser","mae_tread","rmse_tread"
exp_1_invalid13,9,12,2,1240.00,1241.0,160.000,169.0,290.000,291.0,1.0,0.08064516129032258,9.0,5.625,1.0,0.3448275862068966,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid12,8,8,2,1300.00,1300.0,150.000,152.0,345.000,346.0,0.0,0.0,2.0,1.3333333333333333,1.0,0.2898550724637681,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid11,10,10,5,1100.00,1100.0,175.000,194.0,340.000,341.0,0.0,0.0,19.0,10.857142857142858,1.0,0.29411764705882354,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid10,14,15,7,1600.00,1602.0,160.000,163.0,250.000,251.0,2.0,0.125,3.0,1.875,1.0,0.4,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid9,12,13,3,1500.00,1518.0,190.000,187.0,300.000,306.0,18.0,1.2,3.0,1.5789473684210527,6.0,2.0,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid8,7,7,1,1150.00,1152.0,160.000,160.0,295.000,296.0,2.0,0.17391304347826086,0.0,0.0,1.0,0.3389830508474576,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid7,9,9,6,1300.00,1303.0,167.000,177.0,340.000,341.0,3.0,0.23076923076923078,10.0,5.9880239520958085,1.0,0.29411764705882354,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid6,10,10,1,1220.00,1231.0,160.000,168.0,295.000,296.0,11.0,0.9016393442622951,8.0,5.0,1.0,0.3389830508474576,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid5,8,8,1,950.00,952.0,160.000,173.0,280.000,282.0,2.0,0.21052631578947367,13.0,8.125,2.0,0.7142857142857143,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
exp_1_invalid4,11,11,4,1600.00,1600.0,180.000,182.0,320.000,321.0,0.0,0.0,2.0,1.1111111111111112,1.0,0.3125,3.639344262295082,6.615927131043591,4.590163934426229,6.285554607296915,1.0327868852459017,1.2867547182419938
